,Text,User Name,Date of Tweet,Like Count,Comment Count
0,Fas'ın Dünya Kupası serüveni.,Futbol-u Alîyye,15 Ara,1.125,37
1,Bu kurtarış Dünya Kupası’nı kazandırdı. Gelmiş geçmiş en büyük son dakika kurtarışı…,Futbol-u Alîyye,20 Ara,1.125,37
2,"Arjantin savunmasının, 2018 Dünya Kupası'nda Mbappe'yi durdurmaya çalıştığı o anlar.",Futbol-u Alîyye,18 Ara,1.125,37
3,2022.. her seye zam.. içimde suwen var.. festivallerin yasaklanmasi.. kralice elizabeth.. gerekirse simit yenecek.. canlı yayın açan koyun.. kpss.. izabelya fevzi.. merve bolugur.. yabanci damat.. oguzhan ugur.. sosyal medya yasasi.. tatbikat.. dünya kupasi.. kismetse olur..,Futbol-u Alîyye,18 Ara,1.125,37
4,2022 Dünya Kupası Şampiyonu Arjantin! #ARG,Futbol-u Alîyye,18 Ara,1.125,37
5," Maradona, Copa America'yı hiç kazanamadı.
 Ronaldo Nazario, Şampiyonlar Ligi'ni hiç kazanamadı.
 Cryuff, Dünya Kupası'nı hiç kazanamadı.
 Cristiano Ronaldo, Dünya Kupası'nı hiç kazanamadı.
 Lionel Messi, hepsini kazandı.",Futbol-u Alîyye,18 Ara,1.125,37
6,Lionel Messi  - Dünya Kupası Finali edit,FURKAN JK,18 Ara,284,0
7,Kariyerinde tek eksik dünya kupası olsun sıkıntı yok Ronaldo abim senciyiz.,Recep Tayyip Erdoğan,18 Ara,707,0
8,"Jorge Valdano: ""Messi, Dünya Kupası'ndan önce yaptığımız röportajın kamera arkasında 'Eğer Dünya Kupası'nı kazanırsak, 2026 Dünya Kupası'nda oynayacağım' dedi.""",Recep Tayyip Erdoğan,15s,707,0
9,"2002 Dünya Kupası esnasında, Taksim'de amatör kamerayla çekilmiş görüntüler.",[empty],19 Ara,410,0
10,"Maç saatine sahne koyarlarsa Çağlar ve tepkileri

“Sözleşmeme yazdırıyorum bundan sonra önemli günlerde önemli olaylarda sahne çekmeyeceğim.Dünya Kupası ve Şampiyonlar ligi finali,Jake Gyllenhall doğum günü,Amy Winehouse ölüm yıldönümü,Masterchef finali” 

#caglarertugrul ",[empty],18 Ara,410,0
11,"Lionel Messi'nin, olağanüstü 2022 dünya kupası performansı.

Herkesten daha çok o hakediyor.",[empty],16 Ara,410,0
12,"Arjantin-Fransa devre arasında Didier Deschamps: ""Onlarla aramızdaki fark ne biliyor musunuz? Onlar bir s**tiğimin Dünya Kupası finali oynuyorlar, biz ise oynamıyoruz.""",[empty],21 Ara,410,0
13,"diğer takımlar: dünya kupası arasında kendimizi toparlamalı ve geliştirmeliyiz 

bjk:",[empty],13s,410,0
14,"Diego Maradona’nın ‘86 Dünya Kupası’nda Belçika’nın içinden geçtiği efsane performansı.

Özellikle 01:00’a dikkat edilirse zeminin dümdüz top sürmeye bile izin vermeyecek kadar kötü halde olduğu görülür. Günümüz futbolunda çim boyuna bile dikkat ediliyor.",[empty],16 Ara,410,0
15,Messinin son dünya kupası maçı geldi,Video Tayfa,18 Ara,1.206,0
16,gonzalo montiel - arjantin - fransa - dünya kupası finali - şampiyonluk penaltısı - yerle yeksan - edit https://twitter.com/VideoTayfaArsiv/status/1604537075021275137/video/1…,Video Tayfa,18 Ara,1.206,0
17,"Michy Batshuayi bu sezon formda.

Süper Lig
7 maç, 5 gol, 1 asist

UEFA Avrupa Ligi
6 maç, 3 gol

Ziraat Türkiye Kupası
1 maç, 2 gol

UEFA Uluslar Ligi
6 maç, 3 gol, 3 asist

Dünya Kupası
2 maç, 1 gol",Video Tayfa,20 Ara,1.206,0
18,Lionel Messi - Dünya Kupası özel Aşkın Olayım edit  #Messi𓃵,Video Tayfa,19 Ara,1.206,0
19,"Son bir buçuk sene içinde Milli Takım'la Messi:
1x Copa America
1x Finalissima
1x Dünya Kupası",Video Tayfa,19 Ara,1.206,0
20,Lionel Messi - Dünya Kupası özel Aşkın Olayım edit  #Messi𓃵,Barcelona Türkiye,19 Ara,265,11
21,"Son bir buçuk sene içinde Milli Takım'la Messi:
1x Copa America
1x Finalissima
1x Dünya Kupası",Barcelona Türkiye,19 Ara,265,11
22,Dünya Kupası ile uyuyan Messi’ye Nusret şoku.,Barcelona Türkiye,15s,265,11
23,"Hadi gel yıkalım şu Ronaldo'yu desen iki antrenör yeter, 
Bir yedek kulübesi bir de yavşak basın. 
Ama gel yapalım şu efsaneyi geri dersen 
34 kupa 800 gol ve 20 yıl lazım!
#CristianoRonaldo #CR7𓃵",Barcelona Türkiye,11 Ara,265,11
24,"Mbappe, 2018 Dünya Kupası'nda Arjantin’in içinden geçiyor",Barcelona Türkiye,18 Ara,265,11
